simulatorType,day,roomId,shortage
static,31,87,0
static,31,88,0
static,31,89,2
static,31,90,0
static,31,91,1
static,31,92,0
static,31,93,0
static,31,94,0
static,31,95,0
static,31,96,0
static,31,97,0
static,31,98,0
static,31,99,3
dynamic,31,0,0
dynamic,31,1,0
dynamic,31,2,0
dynamic,31,3,0
dynamic,31,4,0
dynamic,31,5,2
dynamic,31,6,0
dynamic,31,7,0
dynamic,31,8,0
dynamic,31,9,0
dynamic,31,10,0
dynamic,31,11,0
dynamic,31,12,0
dynamic,31,13,0
dynamic,31,14,0
dynamic,31,15,3
dynamic,31,16,0
dynamic,31,17,0
dynamic,31,18,0
dynamic,31,19,0
dynamic,31,20,0
dynamic,31,21,1
dynamic,31,22,0
dynamic,31,23,0
dynamic,31,24,0
dynamic,31,25,5
dynamic,31,26,0
dynamic,31,27,0
dynamic,31,28,1
dynamic,31,29,0
dynamic,31,30,0
dynamic,31,31,2
dynamic,31,32,0
dynamic,31,33,3
dynamic,31,34,2
dynamic,31,35,1
dynamic,31,36,0
dynamic,31,37,1
dynamic,31,38,1
dynamic,31,39,1
dynamic,31,40,0
dynamic,31,41,0
dynamic,31,42,7
dynamic,31,43,0
dynamic,31,44,3
dynamic,31,45,0
dynamic,31,46,3
dynamic,31,47,2
dynamic,31,48,6
dynamic,31,49,0
dynamic,31,50,3
dynamic,31,51,0
dynamic,31,52,0
dynamic,31,53,0
dynamic,31,54,6
dynamic,31,55,0
dynamic,31,56,0
dynamic,31,57,0
dynamic,31,58,1
dynamic,31,59,4
dynamic,31,60,0
dynamic,31,61,0
dynamic,31,62,0
dynamic,31,63,3
dynamic,31,64,0
dynamic,31,65,0
dynamic,31,66,1
